subid,depressionDepth_m,depressionAreaFrac,deprCatchAreaFrac,
113602,0,0,0,
113598,0,0,0,
113588,0,0,0,
113584,0,0,0,
113577,0,0,0,
113579,0,0,0,
113585,1.086193787,0.000978145,0.004263888,
113553,0,0,0,
113552,0,0,0,
113545,0,0,0,
113550,0,0,0,
113530,0,0,0,
113532,0,0,0,
113525,0,0,0,
113527,0.341599237,8.90E-05,0.003477311,
113515,0.034912109,1.40E-05,0.002399169,
113518,0,0,5.55E-05,
113513,0.781958008,0.00026944,0.003212587,
113510,2.033756894,0.099586546,0.220830726,
113500,0,0,0,
113497,0,0,0.001800448,
113506,0,0,0,
113547,0,0,0,
113543,0,0,0,
113490,0,0,0,
113503,0,0,0,
113538,0,0,0,
113501,0,0,0,
113540,0,0,0,
113512,0,0,0,
113597,0,0,0,
113571,0,0,0,
113589,0,0,0,
113496,0,0,0,
113498,0,0,0,
113533,0,0,0,
113523,0,0,0,
113494,0,0,0,
113582,0,0,0,
113492,0,0,0,
113656,0.335391914,0.053233663,0.637169721,
113683,0.271258599,0.081200114,0.825028001,
113696,0.362661433,0.089437623,0.660782641,
113703,0.090837482,0.051980947,0.193307244,
113680,0.140103111,0.13113157,0.654606729,
113736,0.133557202,0.05237945,0.774533692,
113707,0.2056045,0.047789324,0.988986039,
113771,0.315281987,0.103349232,0.803930253,
113790,0.216905656,0.053698323,0.87404529,
113813,0.197376781,0.107700246,0.767714792,
113816,0.074194336,0.003180693,0.004467179,
113824,0.157719361,0.049507626,0.697788089,
113866,0.226969157,0.109420555,0.733267536,
113874,0.148729653,0.064438105,0.818652197,
113899,0.685209205,0.071462548,0.781698991,
113897,0,0,0,
113934,0.963139799,0.056231822,0.71333273,
113916,0.1271395,0.008346907,0.260856943,
113905,1.202062736,0.066471149,0.733056607,
113859,0.390923115,0.098327132,0.836357867,
113844,0.322290933,0.070365454,0.837012656,
113876,0.193700715,0.081258841,0.700622041,
113938,0.234514419,0.055295965,0.879293969,
113879,0,0,0.009803935,
113890,0.184795936,0.094825783,0.763121056,
113892,0.157028802,0.125638866,0.787857748,
113910,0.17891813,0.087123521,0.626638396,
113924,0.190897092,0.100131884,0.901273643,
114002,0.264939524,0.031503222,0.845851884,
113952,0.294587263,0.131412682,0.768972209,
113928,0.889941876,0.081648136,0.090617001,
114007,0.24623906,0.085886361,1,
113948,0.29738282,0.093793081,0.99575266,
113971,0.295793132,0.093708923,0.827838569,
113973,0.31264695,0.048318261,0.856551303,
113970,0.127679443,0.014430381,0.157397906,
113975,0.297003458,0.016672851,0.233237366,
114394,0.286586282,0.066818578,0.793110672,
114428,0.534137981,0.021739858,0.824690279,
113994,1.094895482,0.078567204,0.640624204,
113993,0.677075773,0.081569234,0.854821013,
113989,0.724037693,0.042567265,0.829315758,
114020,0.334328269,0.03729661,0.594793901,
114385,0.325416441,0.048473223,0.818366039,
113639,0.164059711,0.054366543,0.816939715,
114390,0.474916857,0.081953817,0.808608539,
113741,0.384363185,0.054838936,0.746724281,
114032,0.428031159,0.092563604,0.888624135,
114218,0.272228,0.018466871,0.772900252,
113832,0.150046612,0.087154478,0.583467643,
113884,0.185940724,0.040756197,0.856829749,
113872,0.229693228,0.050354168,0.993660017,
