subbasin_id,real_stream_name,USGS_code,DNRC_location,Gauge ID
58328,Beaver Creek (Bowdoin) at Mouth,6166000,6167500,BCHMO
58346,Big Sandy Creek at Mouth,6139500,6139500,BSCMO
58363,Battle Creek at International Boundary,6149500,6149500,BTCIB
58425,Clear Creek at Mouth,6142400,6142400,CLCMO
58290,Frenchman River at International Boundary,6164000,6164000,FRRIB
58356,Lodge Creek at International Boundary,6145500,6145500,LDCIB
58408,Milk River at Western Crossing of International Boundary,6133000,6133000,MRWIB
58643,North Fork Milk River above St. Mary Canal,6133500,6133500,NFKMR
58418,People's Creek at Mouth,6154550,6154550,PPCMO
58398,Rock Creek at Mouth,6169500,6171000,RKCMO
58213,"St. Mary River near Babb, MT",5017500,5017500,SMRBB
58208,St. Mary River at International Boundary,5020500,5020500,SMRIB
58223,Swiftcurrent Creek at Sherburne Reservoir,5014500,5014500,SWCSB
58308,Milk River at Eastern Crossing of International Boundary,6135000,6135000,MREIB
