!!Subbasin assessment. Criteria is calculated for period DD. Variables: rout, cout  Unit: m3/s  
SUBID	NSE	CC	RE(%)	RSDE(%)	Sim	Rec	SDSim	SDRec	MAE	RMSE	Bias	SDE	KGE	KGESD	KGEM	NRMSE	NSEW
58643	-0.2687	0.5513	-47.984	18.9718	0.338	0.6498	0.9128	0.7673	0.5434	0.8642	-0.3118	0.1456	0.3162	1.1897	0.5202	0.0371	-0.1035
58408	0.1866	0.582	-5.4833	-2.8917	2.3957	2.5346	5.2	5.3548	1.8625	4.8295	-0.139	-0.1548	0.5774	0.9711	0.9452	0.044	0.1872
58308	0.216	0.546	-23.005	-18.893	4.2021	5.4576	9.3447	11.5215	3.9788	10.2015	-1.2555	-2.1768	0.4571	0.8111	0.77	0.0437	0.2279
58346	0.4391	0.7818	32.1492	18.0001	1.224	0.9262	3.0125	2.553	0.8307	1.912	0.2978	0.4595	0.5718	1.18	1.3215	0.0441	0.4527
58356	0.0624	0.4266	26.8301	-23.0607	1.1706	0.923	4.2209	5.4861	1.3721	5.3122	0.2476	-1.2651	0.3262	0.7694	1.2683	0.0227	0.0644
58363	0.0602	0.5026	3.9801	-5.8942	1.2581	1.2099	3.6855	3.9163	1.2462	3.7966	0.0482	-0.2308	0.4976	0.9411	1.0398	0.0276	0.0604
58418	0.416	0.6482	11.2744	-41.2191	0.9603	0.863	2.5902	4.4065	0.8927	3.3675	0.0973	-1.8163	0.4465	0.5878	1.1127	0.0156	0.4165
58435	-0.1374	0.1938	-73.9449	-51.6351	0.171	0.6563	0.7783	1.6093	0.6452	1.7163	-0.4853	-0.831	-0.2097	0.4836	0.2606	0.0439	-0.0465
58290	0.0476	0.4844	1.0726	-8.3024	3.124	3.0908	8.6689	9.4538	3.1228	9.2263	0.0332	-0.7849	0.4777	0.917	1.0107	0.0385	0.0476
58328	0.0477	0.5632	8.4675	8.2102	2.0751	1.9131	11.1947	10.3454	2.021	10.0957	0.162	0.8494	0.5476	1.0821	1.0847	0.0214	0.0479
58292	-5.4999	0.2931	184.4353	163.1627	1.203	0.4229	5.9992	2.2797	1.1849	5.812	0.78	3.7196	-1.5619	2.6316	2.8444	0.0873	-5.3828
58232	0.3608	0.7636	-59.6808	-31.0785	2.2547	5.5921	4.941	7.169	3.5949	5.7316	-3.3374	-2.228	0.2868	0.6892	0.4032	0.0517	0.5775
58213	0.6828	0.8614	-25.7879	-1.0157	15.2704	20.5768	25.3921	25.6526	9.1008	14.448	-5.3063	-0.2606	0.7071	0.9898	0.7421	0.0648	0.7256
58208	0.7051	0.8654	-13.8825	4.2513	21.0754	24.4728	31.7844	30.4882	10.358	16.5579	-3.3974	1.2961	0.802	1.0425	0.8612	0.0403	0.7175
