 adjmix_rain cecn_coef jh_coef radmax rain_cbh_adj snow_cbh_adj tmax_allrain_offset tmax_allsnow tmax_cbh_adj tmin_cbh_adj
578 1 1 1 1 1 1 1 1 1 1
586 1 1 1 1 1 1 1 1 1 1
613 1 1 1 1 1 1 1 1 1 1
615 1 1 1 1 1 1 1 1 1 1
607 1 1 1 1 1 1 1 1 1 1
547 1 1 1 1 1 1 1 1 1 1
548 1 1 1 1 1 1 1 1 1 1
580 1 1 1 1 1 1 1 1 1 1
582 1 1 1 1 1 1 1 1 1 1
544 1 1 1 1 1 1 1 1 1 1
550 1 1 1 1 1 1 1 1 1 1
559 1 1 1 1 1 1 1 1 1 1
573 1 1 1 1 1 1 1 1 1 1
525 1 1 1 1 1 1 1 1 1 1
526 1 1 1 1 1 1 1 1 1 1
542 1 1 1 1 1 1 1 1 1 1
543 1 1 1 1 1 1 1 1 1 1
604 1 1 1 1 1 1 1 1 1 1
608 1 1 1 1 1 1 1 1 1 1
537 1 1 1 1 1 1 1 1 1 1
538 1 1 1 1 1 1 1 1 1 1
512 1 1 1 1 1 1 1 1 1 1
515 1 1 1 1 1 1 1 1 1 1
589 1 1 1 1 1 1 1 1 1 1
596 1 1 1 1 1 1 1 1 1 1
595 1 1 1 1 1 1 1 1 1 1
605 1 1 1 1 1 1 1 1 1 1
601 1 1 1 1 1 1 1 1 1 1
617 1 1 1 1 1 1 1 1 1 1
528 1 1 1 1 1 1 1 1 1 1
530 1 1 1 1 1 1 1 1 1 1
587 1 1 1 1 1 1 1 1 1 1
588 1 1 1 1 1 1 1 1 1 1
579 1 1 1 1 1 1 1 1 1 1
581 1 1 1 1 1 1 1 1 1 1
503 1 1 1 1 1 1 1 1 1 1
516 1 1 1 1 1 1 1 1 1 1
500 1 1 1 1 1 1 1 1 1 1
502 1 1 1 1 1 1 1 1 1 1
504 1 1 1 1 1 1 1 1 1 1
505 1 1 1 1 1 1 1 1 1 1
553 1 1 1 1 1 1 1 1 1 1
554 1 1 1 1 1 1 1 1 1 1
560 1 1 1 1 1 1 1 1 1 1
561 1 1 1 1 1 1 1 1 1 1
529 1 1 1 1 1 1 1 1 1 1
534 1 1 1 1 1 1 1 1 1 1
511 1 1 1 1 1 1 1 1 1 1
514 1 1 1 1 1 1 1 1 1 1
483 1 1 1 1 1 1 1 1 1 1
485 1 1 1 1 1 1 1 1 1 1
518 1 1 1 1 1 1 1 1 1 1
519 1 1 1 1 1 1 1 1 1 1
513 1 1 1 1 1 1 1 1 1 1
509 1 1 1 1 1 1 1 1 1 1
510 1 1 1 1 1 1 1 1 1 1
612 1 1 1 1 1 1 1 1 1 1
616 1 1 1 1 1 1 1 1 1 1
597 1 1 1 1 1 1 1 1 1 1
603 1 1 1 1 1 1 1 1 1 1
532 1 1 1 1 1 1 1 1 1 1
566 1 1 1 1 1 1 1 1 1 1
484 1 1 1 1 1 1 1 1 1 1
508 1 1 1 1 1 1 1 1 1 1
488 1 1 1 1 1 1 1 1 1 1
520 1 1 1 1 1 1 1 1 1 1
576 1 1 1 1 1 1 1 1 1 1
583 1 1 1 1 1 1 1 1 1 1
524 1 1 1 1 1 1 1 1 1 1
535 1 1 1 1 1 1 1 1 1 1
546 1 1 1 1 1 1 1 1 1 1
552 1 1 1 1 1 1 1 1 1 1
555 1 1 1 1 1 1 1 1 1 1
557 1 1 1 1 1 1 1 1 1 1
506 1 1 1 1 1 1 1 1 1 1
507 1 1 1 1 1 1 1 1 1 1
564 1 1 1 1 1 1 1 1 1 1
598 1 1 1 1 1 1 1 1 1 1
562 1 1 1 1 1 1 1 1 1 1
584 1 1 1 1 1 1 1 1 1 1
556 1 1 1 1 1 1 1 1 1 1
577 1 1 1 1 1 1 1 1 1 1
539 1 1 1 1 1 1 1 1 1 1
540 1 1 1 1 1 1 1 1 1 1
565 1 1 1 1 1 1 1 1 1 1
572 1 1 1 1 1 1 1 1 1 1
569 1 1 1 1 1 1 1 1 1 1
575 1 1 1 1 1 1 1 1 1 1
489 1 1 1 1 1 1 1 1 1 1
490 1 1 1 1 1 1 1 1 1 1
499 1 1 1 1 1 1 1 1 1 1
501 1 1 1 1 1 1 1 1 1 1
