	low_bound	upper_bound	Count
adjmix_rain	0.6	1.4	10908
carea_max	0.1	0.9	908
cecn_coef	0.8	1.2	10908
dprst_depth_avg	20	300	908
dprst_et_coef	0	1	908
dprst_flow_coef	0.0001	0.1	908
dprst_seep_rate_open	0.00001	0.1	908
emis_noppt	0.757	1	908
fastcoef_lin	0.01	0.4	908
fastcoef_sq	0.00001	0.8	908
freeh2o_cap	0.01	0.1	908
gwflow_coef	0.02	0.06	908
op_flow_thres	0.75	1	908
potet_sublim	0.4	0.6	908
pref_flow_den	0	0.09	908
rad_trncf	0.015	1	908
radmax	0.75	1.25	10908
rain_cbh_adj	0.29	1.7	10908
sat_threshold	0.0001	200	908
slowcoef_lin	0.00001	0.5	908
slowcoef_sq	0.05	0.35	908
smidx_coef	0	0.06	908
smidx_exp	0.0001	1	908
snow_intcp	0.01	0.95	908
snowinfil_max	0	20	908
snow_cbh_adj	0.29	1.7	10908
soil2gw_max	0	0.35	908
soil_moist_max	1	10	908
soil_rechr_max_frac	0.02	1	908
srain_intcp	0.01	0.95	908
ssr2gw_exp	0	3	908
ssr2gw_rate	0.01	0.8	908
tmax_allrain_offset	0	2	10908
tmax_allsnow	0.84	1.16	10908
tmax_cbh_adj	−3	3	10908
tmin_cbh_adj	−3	3	10908
wrain_intcp	0.01	0.95	908
