,Cal KGE,Val KGE,Cal Bias,Val Bias
Swiftcurrent Creek at Sherburne Reservoir,0.21195008790384262,0.2497288717868944,-58.97238217262956,-55.925965885849806
"St. Mary River near Babb, MT",0.773748148110408,0.8165936210065626,-16.631065083378232,-12.426338207792806
St. Mary River at International Boundary,0.8078564972543378,0.8617466072342809,-13.717151699081217,-7.439426845766718
Milk River at Western Crossing of International Boundary,0.6471836296198776,0.6472281236290195,5.405680419393521,20.069965356176446
North Fork Milk River above St Mary Canal near Browning,0.6270464262466686,0.538322584360712,-10.31434524944773,1.7565647242233342
Milk River at Eastern Crossing,0.5928759310054281,-1.1445647881327528,6.130066128383515,78.9604780853623
Big Sandy Creek at Mouth,-0.16168436018955057,-4.615201607700327,95.64317990529591,338.9954519024968
Clear Creek at Mouth,-1.9699558832346993,-0.46727703869146153,86.58497489814653,65.67718865640315
Lodge Creek at International Boundary,-0.46661815083210434,-3.2284866184812664,119.01212806968375,381.0124230062699
Battle Creek at International Boundary,-1.5757404840968223,-4.610501406785931,189.56845862496704,382.33905025143747
Peoples Creek at Mouth,-0.4573652520402247,0.016416987295727714,55.12149055633684,66.67413112724121
Frenchman River at International Boundary,-0.16927791661559355,-1.6536172750784144,85.72739792152527,207.03871772317473
Beaver Creek Bowdoin,0.6258339098267474,0.3738380851470896,15.307219755751511,32.3310386039652
Rock Creek at Mouth,-1.841911892580213,-1.7277681023869271,202.3226910020791,226.61103469351139
